,breaking,china,corona,coronavirus,coronaviruspandemic,coronavirusupdate,coronavirusupdates,covid,covid19,covid_19,covidiots,health,india,indiafightscorona,lockdown,mask,masks,odisha,pandemic,socialdistancing,staysafe,trump,usa,vaccine,wearamask
breaking,1.0,0.8196119356833642,0.7610178007464828,1.0638279355874454,0.5008739606953893,0.3063598012020342,0.4239643314139475,0.3424580103359173,0.8003094806763285,0.5348315173527037,0.0,0.0,2.640816253914034,0.0,0.0,0.0,0.0,22.558510638297875,0.2720263752052545,0.48123184458968765,0.0,0.8098457073021693,0.922277313848295,2.528016213638531,0.2785440311055065
china,0.8196119356833642,1.0,0.6777152956554949,1.8947584752577873,0.44604731193652475,0.8184751646213901,0.37755636192707753,4.4220923041521045,0.7087684286476366,1.9051512306441396,0.0,0.8982048610228648,6.887259989004529,0.7312522846245628,0.8187590616608008,0.46834967753335105,0.43043077585121975,0.0,0.8478744162241699,0.0,0.0,2.1635952106031984,6.981245715215295,5.628236468211942,0.0
corona,0.7610178007464828,0.6777152956554949,1.0,1.6874937669393213,0.9318585315263056,0.5066415317036224,0.5258472327614853,3.6104100314484304,0.8409036472336828,3.9801415244852376,1.5005984803451775,0.8339921104071044,2.96348520188212,0.8487187368919883,0.9502823734607486,0.8697346294245518,0.19982961945203054,0.0,1.4058210604922714,0.5968767064678298,3.3208049487119258,0.3348199306675635,0.9532582055279536,0.7838809964770639,0.6909619376260626
coronavirus,1.0638279355874454,1.8947584752577873,1.6874937669393213,1.0,8.365294220695946,9.351592280450536,1.0201146877347587,3.4010180228367495,0.8553930299237342,4.314819239660894,1.4433078056834554,1.6178987893753711,2.0468569352699415,0.40677435667709,2.266415054431661,1.1909910415906093,1.003351315125568,0.36954509269212166,2.695130589806335,1.203316112282451,0.9473792376288936,1.6238305906196435,1.9145367474421067,1.4759599281514524,1.1958721524168001
coronaviruspandemic,0.5008739606953893,0.44604731193652475,0.9318585315263056,8.365294220695946,1.0,105.20437254883461,2.3072888784432517,1.3046019441368277,1.003432340187256,1.0187266997194357,0.282182513067825,0.0,2.1557683705420683,0.22343819807972753,0.1250881899759557,0.0,0.0,0.34102056898409483,0.6661870413189908,0.0,0.4856959618864381,0.22036617885773313,1.0038392531682123,0.0,0.30317717671347644
coronavirusupdate,0.3063598012020342,0.8184751646213901,0.5066415317036224,9.351592280450536,105.20437254883461,1.0,1.1290034900343677,0.45597737853326015,1.0273319300457355,0.35605981737766684,0.6903882843989503,0.0,0.2511574800631536,0.0,0.0,0.0,0.0,0.0,0.09054969493656183,0.0,1.1883046834503144,0.13478708027220568,0.0,0.0,0.0
coronavirusupdates,0.4239643314139475,0.37755636192707753,0.5258472327614853,1.0201146877347587,2.3072888784432517,1.1290034900343677,1.0,0.9465250189706734,0.9573059609154712,1.4782291458500834,0.4777062889171239,0.4646184453851479,1.7378555002450453,10.212969767889888,0.2117615807270497,0.0,0.0,0.0,0.8771675822357534,0.0,0.0,0.0,0.0,0.29113430483361197,0.0
covid,0.3424580103359173,4.4220923041521045,3.6104100314484304,3.4010180228367495,1.3046019441368277,0.45597737853326015,0.9465250189706734,1.0,0.7987670623016471,9.651843196876701,5.788022709902828,2.0641304732575834,3.1584513335848903,1.9860018443272527,1.2828812041720106,2.9353543743078627,1.978313232575102,0.8160701522898456,3.6438881887959678,1.432504095522791,0.9962414846135776,7.156776018019171,1.372691815960253,1.0582393452440364,2.0728858128781877
covid19,0.8003094806763285,0.7087684286476366,0.8409036472336828,0.8553930299237342,1.003432340187256,1.0273319300457355,0.9573059609154712,0.7987670623016471,1.0,0.9224334121048314,0.8917929937969827,0.7704485426627486,0.7820680234473116,0.8363233251209018,0.7740789522250964,0.6720830997944859,0.7105519815862467,0.9844173510987542,0.8625385906099831,0.6750886313725142,0.8939669939850099,0.6225093114020999,0.7288715739997336,0.9048148350519845,0.8363680972420925
covid_19,0.5348315173527037,1.9051512306441396,3.9801415244852376,4.314819239660894,1.0187266997194357,0.35605981737766684,1.4782291458500834,9.651843196876701,0.9224334121048314,1.0,6.930211210767429,1.7583501940362862,1.2057687496252245,0.7157596514757375,1.0685499618285028,5.195506168569123,1.9661202388458259,0.5462109113389316,1.7388610909004163,1.6779027995378941,1.8151857558637219,0.352959388170437,1.0718961516880912,0.5508994170156606,0.9711946847262213
