hashtag,raw_support,influence_weighted_support,influence_boost
odisha,0.0067,0.0084,1.256
breaking,0.0045,0.0053,1.162
indiafightscorona,0.0051,0.0059,1.158
coronavirusupdates,0.0049,0.0054,1.102
china,0.0051,0.0054,1.044
us,0.0038,0.0039,1.027
india,0.0113,0.0114,1.012
coronavirus,0.0962,0.0963,1.001
covid19,0.9461,0.9419,0.996
russia,0.0039,0.0039,0.995
vaccine,0.0066,0.0066,0.995
socialdistancing,0.0043,0.0042,0.959
uk,0.0036,0.0034,0.954
lockdown,0.0091,0.0085,0.94
health,0.0042,0.0039,0.939
covid,0.0123,0.0115,0.939
pandemic,0.0153,0.0143,0.931
trump,0.0104,0.0096,0.924
coronaviruspandemic,0.0083,0.0077,0.92
coronavirusupdate,0.0068,0.006,0.888
masks,0.0043,0.0038,0.87
usa,0.0046,0.0039,0.851
covid_19,0.0078,0.0066,0.848
covidー19,0.0037,0.0031,0.84
wearamask,0.0075,0.0063,0.838
coronainfoch,0.0038,0.0031,0.821
mask,0.004,0.0032,0.818
staysafe,0.0047,0.0038,0.816
corona,0.011,0.0087,0.793
covidiots,0.004,0.0032,0.785
