antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"coronavirusupdate, covid19","coronavirus, coronaviruspandemic",0.006180436880738819,0.006268981821723616,0.0055,0.8968,143.0612,1.0,0.0055,9.6337,0.9991853873439343,0.8025641025641025,0.8961974009291942,0.8905144642481344
"coronavirus, coronaviruspandemic","coronavirusupdate, covid19",0.006268981821723616,0.006180436880738819,0.0055,0.8842,143.0612,1.0,0.0055,8.5808,0.9992744182884624,0.8025641025641025,0.8834605260978855,0.8905144642481344
"coronavirus, coronaviruspandemic, covid19",coronavirusupdate,0.00617158238664034,0.006384090245003852,0.0055,0.8981,140.6833,1.0,0.0055,9.7542,0.9990576019210319,0.7904040404040403,0.8974803691261953,0.883186710630262
coronavirusupdate,"coronavirus, coronaviruspandemic, covid19",0.006384090245003852,0.00617158238664034,0.0055,0.8682,140.6833,1.0,0.0055,7.5426,0.9992712736117543,0.7904040404040403,0.8674203312102163,0.883186710630262
"coronavirus, coronaviruspandemic",coronavirusupdate,0.006268981821723616,0.006384090245003852,0.0056,0.8898,139.3825,1.0,0.0055,9.019,0.9990887679060968,0.7884856070087607,0.8891226575140194,0.8818084581207832
coronavirusupdate,"coronavirus, coronaviruspandemic",0.006384090245003852,0.006268981821723616,0.0056,0.8738,139.3825,1.0,0.0055,7.8734,0.9992045103490886,0.7884856070087607,0.8729901855490165,0.8818084581207832
"coronavirus, coronavirusupdate","coronaviruspandemic, covid19",0.005728857681716355,0.007384648078132056,0.0055,0.9675,131.0208,1.0,0.0055,30.582,0.9980855139746838,0.7321637426900585,0.9673010335038953,0.8590710121238403
"coronaviruspandemic, covid19","coronavirus, coronavirusupdate",0.007384648078132056,0.005728857681716355,0.0055,0.7506,131.0208,1.0,0.0055,3.9866,0.999750429196518,0.7321637426900585,0.7491625080913095,0.8590710121238403
coronaviruspandemic,"coronavirus, coronavirusupdate, covid19",0.007809663794859081,0.0056845852112239565,0.0055,0.7098,124.8553,1.0,0.0055,3.4257,0.9997988208380669,0.6971046770601337,0.708091186368428,0.8424142242566808
"coronavirus, coronavirusupdate, covid19",coronaviruspandemic,0.0056845852112239565,0.007809663794859081,0.0055,0.9751,124.8553,1.0,0.0055,39.8116,0.9976620229663796,0.6971046770601337,0.9748817162688939,0.8424142242566808
coronaviruspandemic,"coronavirus, coronavirusupdate",0.007809663794859081,0.005728857681716355,0.0056,0.7143,124.682,1.0,0.0055,3.4799,0.9997876043014592,0.7007786429365961,0.712639466687022,0.8440052991830426
"coronavirus, coronavirusupdate",coronaviruspandemic,0.005728857681716355,0.007809663794859081,0.0056,0.9737,124.682,1.0,0.0055,37.7616,0.9976952533618311,0.7007786429365961,0.9735180691034301,0.8440052991830426
coronavirusupdate,"coronaviruspandemic, covid19",0.006384090245003852,0.007384648078132056,0.0055,0.8682,117.5735,1.0,0.0055,7.5334,0.9978651395949985,0.6738428417653392,0.8672583068698847,0.8094190389713195
"coronaviruspandemic, covid19",coronavirusupdate,0.007384648078132056,0.006384090245003852,0.0055,0.7506,117.5735,1.0,0.0055,3.984,0.9988709892223433,0.6738428417653392,0.7489970951876126,0.8094190389713195
coronaviruspandemic,"coronavirusupdate, covid19",0.007809663794859081,0.006180436880738819,0.0055,0.7098,114.8383,1.0,0.0055,3.424,0.999094693771301,0.6561844863731656,0.7079455427546809,0.8032993522146203
"coronavirusupdate, covid19",coronaviruspandemic,0.006180436880738819,0.007809663794859081,0.0055,0.8968,114.8383,1.0,0.0055,9.6187,0.9974568190249657,0.6561844863731656,0.8960362153307084,0.8032993522146203
coronavirusupdate,coronaviruspandemic,0.006384090245003852,0.007809663794859081,0.0056,0.8752,112.0629,1.0,0.0055,7.9485,0.9974442119042097,0.6491769547325104,0.8741908431013079,0.7952964357263941
coronaviruspandemic,coronavirusupdate,0.007809663794859081,0.006384090245003852,0.0056,0.7154,112.0629,1.0,0.0055,3.4915,0.998877334193412,0.6491769547325104,0.7135910404892928,0.7952964357263941
"coronaviruspandemic, coronavirusupdate","coronavirus, covid19",0.00558718577614068,0.07261570610163189,0.0055,0.9921,13.662,1.0,0.0051,117.0359,0.9320116183027782,0.07628564465025592,0.9914556130381458,0.5342041121729386
coronavirusupdate,"coronavirus, covid19",0.006384090245003852,0.07261570610163189,0.0057,0.8904,12.2622,1.0,0.0052,8.4638,0.9243498492115895,0.07753623188405798,0.8818504450314916,0.4843565472970127
"coronaviruspandemic, coronavirusupdate, covid19",coronavirus,0.005542913305648282,0.0900856229579323,0.0055,1.0,11.1006,1.0,0.005,inf,0.9149860654788934,0.061529388637703956,1.0,0.530764694318852
"coronaviruspandemic, coronavirusupdate",coronavirus,0.00558718577614068,0.0900856229579323,0.0056,0.9984,11.083,1.0,0.0051,574.156,0.9148830053038199,0.06191646191646192,0.9982583129865091,0.5301688808083249
coronaviruspandemic,"coronavirus, covid19",0.007809663794859081,0.07261570610163189,0.0062,0.7902,10.8826,1.0,0.0056,4.4214,0.9152582570034558,0.08311471500119247,0.7738256208634794,0.4376195342584459
"coronavirusupdate, covid19",coronavirus,0.006180436880738819,0.0900856229579323,0.0057,0.9198,10.21,1.0,0.0051,11.3414,0.9076662148326728,0.06275659824046921,0.9118277187554293,0.4914363992039938
coronavirusupdate,coronavirus,0.006384090245003852,0.0900856229579323,0.0057,0.8974,9.9612,1.0,0.0052,8.8655,0.9053910189104277,0.06313427010148322,0.8872034210708201,0.48047912235561696
"coronaviruspandemic, covid19",coronavirus,0.007384648078132056,0.0900856229579323,0.0062,0.8357,9.2771,1.0,0.0055,5.5392,0.8988451016001106,0.06759771118223258,0.819468084825854,0.4521196881692602
coronaviruspandemic,coronavirus,0.007809663794859081,0.0900856229579323,0.0063,0.8027,8.9106,1.0,0.0056,4.6123,0.8947624842219581,0.0684190181677619,0.7831895873478377,0.436155118623034
