antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"coronavirusupdate, covid19","coronavirus, coronaviruspandemic",0.006180436880738819,0.006268981821723616,0.0055,0.8968,143.0612,1.0,0.0055,9.6337,0.9991853873439343,0.8025641025641025,0.8961974009291942,0.8905144642481344
"coronavirus, coronaviruspandemic","coronavirusupdate, covid19",0.006268981821723616,0.006180436880738819,0.0055,0.8842,143.0612,1.0,0.0055,8.5808,0.9992744182884624,0.8025641025641025,0.8834605260978855,0.8905144642481344
"coronavirus, coronaviruspandemic, covid19",coronavirusupdate,0.00617158238664034,0.006384090245003852,0.0055,0.8981,140.6833,1.0,0.0055,9.7542,0.9990576019210319,0.7904040404040403,0.8974803691261953,0.883186710630262
coronavirusupdate,"coronavirus, coronaviruspandemic, covid19",0.006384090245003852,0.00617158238664034,0.0055,0.8682,140.6833,1.0,0.0055,7.5426,0.9992712736117543,0.7904040404040403,0.8674203312102163,0.883186710630262
"coronavirus, coronaviruspandemic",coronavirusupdate,0.006268981821723616,0.006384090245003852,0.0056,0.8898,139.3825,1.0,0.0055,9.019,0.9990887679060968,0.7884856070087607,0.8891226575140194,0.8818084581207832
coronavirusupdate,"coronavirus, coronaviruspandemic",0.006384090245003852,0.006268981821723616,0.0056,0.8738,139.3825,1.0,0.0055,7.8734,0.9992045103490886,0.7884856070087607,0.8729901855490165,0.8818084581207832
"coronavirus, coronavirusupdate","coronaviruspandemic, covid19",0.005728857681716355,0.007384648078132056,0.0055,0.9675,131.0208,1.0,0.0055,30.582,0.9980855139746838,0.7321637426900585,0.9673010335038953,0.8590710121238403
"coronaviruspandemic, covid19","coronavirus, coronavirusupdate",0.007384648078132056,0.005728857681716355,0.0055,0.7506,131.0208,1.0,0.0055,3.9866,0.999750429196518,0.7321637426900585,0.7491625080913095,0.8590710121238403
coronaviruspandemic,"coronavirus, coronavirusupdate, covid19",0.007809663794859081,0.0056845852112239565,0.0055,0.7098,124.8553,1.0,0.0055,3.4257,0.9997988208380669,0.6971046770601337,0.708091186368428,0.8424142242566808
"coronavirus, coronavirusupdate, covid19",coronaviruspandemic,0.0056845852112239565,0.007809663794859081,0.0055,0.9751,124.8553,1.0,0.0055,39.8116,0.9976620229663796,0.6971046770601337,0.9748817162688939,0.8424142242566808
